,y,x
0,399,385
1,399,386
2,400,315
3,400,316
4,400,317
5,400,318
6,400,319
7,400,320
8,400,321
9,400,322
10,400,323
11,400,324
12,400,325
13,400,326
14,400,327
15,400,328
16,400,329
17,400,330
18,400,331
19,400,332
20,400,333
21,400,334
22,400,335
23,400,336
24,400,337
25,400,338
26,400,339
27,400,340
28,400,341
29,400,342
30,400,343
31,400,347
32,400,348
33,400,349
34,400,350
35,400,351
36,400,352
37,400,353
38,400,357
39,400,358
40,400,359
41,400,360
42,400,361
43,400,362
44,400,367
45,400,368
46,400,369
47,400,370
48,400,371
49,400,372
50,400,373
51,400,374
52,400,375
53,400,376
54,400,377
55,400,378
56,400,379
57,400,380
58,400,381
59,400,382
60,400,383
61,400,384
62,400,385
63,400,386
64,400,387
65,400,388
66,400,389
67,400,390
68,400,391
69,400,395
70,400,396
71,400,397
72,400,398
73,400,399
74,400,400
75,400,409
76,400,410
77,400,419
78,401,296
79,401,303
80,401,304
81,401,305
82,401,306
83,401,307
84,401,308
85,401,309
86,401,310
87,401,311
88,401,312
89,401,313
90,401,314
91,401,315
92,401,316
93,401,317
94,401,318
95,401,319
96,401,320
97,401,321
98,401,322
99,401,323
100,401,324
101,401,325
102,401,326
103,401,327
104,401,335
105,401,336
106,401,337
107,401,344
108,401,345
109,401,346
110,401,347
111,401,348
112,401,349
113,401,354
114,401,355
115,401,356
116,401,357
117,401,363
118,401,364
119,401,365
120,401,366
121,401,367
122,401,373
123,401,374
124,401,382
125,401,392
126,401,393
127,401,394
128,401,395
129,401,401
130,401,402
131,401,403
132,401,404
133,401,405
134,401,406
135,401,407
136,401,408
137,401,409
138,401,410
139,401,411
140,401,412
141,401,413
142,401,414
143,401,415
144,401,416
145,401,417
146,401,418
147,401,419
148,401,420
149,401,421
150,401,422
151,401,423
152,401,424
153,401,425
154,401,426
155,401,427
156,401,428
157,401,429
158,401,434
159,401,435
160,401,436
161,402,291
162,402,292
163,402,293
164,402,294
165,402,295
166,402,296
167,402,297
168,402,298
169,402,299
170,402,300
171,402,301
172,402,302
173,402,303
174,402,304
175,402,305
176,402,306
177,402,307
178,402,430
179,402,431
180,402,432
181,402,433
182,402,434
183,402,435
184,402,436
185,402,437
186,402,438
187,402,439
188,402,440
189,402,441
190,402,442
191,402,443
192,402,444
193,402,445
194,402,446
195,402,447
196,402,448
197,402,453
198,402,454
199,402,455
200,402,456
201,402,457
202,403,282
203,403,283
204,403,284
205,403,285
206,403,286
207,403,287
208,403,288
209,403,289
210,403,290
211,403,291
212,403,449
213,403,450
214,403,451
215,403,452
216,403,458
217,403,459
218,403,460
219,403,461
220,403,462
221,403,463
222,403,464
223,403,465
224,403,466
225,403,467
226,403,468
227,403,469
228,403,470
229,403,471
230,403,472
231,403,473
232,403,474
233,403,475
234,403,476
235,404,273
236,404,274
237,404,275
238,404,276
239,404,277
240,404,278
241,404,279
242,404,280
